Secuencia	Es_conotoxina	Score
FASTA_451	False	0.132488
FASTA_452	False	0.052684
FASTA_453	False	0.114923
FASTA_454	False	0.139099
FASTA_455	True	0.177143
FASTA_456	False	0.133757
FASTA_457	False	0.161766
FASTA_458	False	0.038653
FASTA_459	False	0.080827
FASTA_460	False	0.144061
FASTA_461	True	0.230946
FASTA_462	False	0.093623
FASTA_463	False	0.077415
FASTA_464	False	0.049073
FASTA_465	False	0.121180
FASTA_466	True	0.180648
FASTA_467	False	0.038388
FASTA_468	False	0.117606
FASTA_469	False	0.139084
FASTA_470	False	0.161600
FASTA_471	False	0.123123
FASTA_472	True	0.201185
FASTA_473	False	0.101098
FASTA_474	False	0.094371
FASTA_475	False	0.090030
FASTA_476	False	0.073914
FASTA_477	True	0.185663
FASTA_478	False	0.154766
FASTA_479	False	0.043703
FASTA_480	False	0.079173
FASTA_481	False	0.136404
FASTA_482	False	0.109494
FASTA_483	False	0.149137
FASTA_484	False	0.125725
FASTA_485	False	0.082702
FASTA_486	False	0.143733
FASTA_487	False	0.079407
FASTA_488	False	0.093039
FASTA_489	True	0.213239
FASTA_490	False	0.143996
FASTA_491	False	0.163836
FASTA_492	True	0.207767
FASTA_493	False	0.140929
FASTA_494	False	0.050189
FASTA_495	False	0.113558
FASTA_496	False	0.128321
FASTA_497	False	0.160377
FASTA_498	False	0.064662
FASTA_499	False	0.140644
FASTA_500	False	0.113562
FASTA_501	False	0.149751
FASTA_502	False	0.040125
FASTA_503	True	0.173147
FASTA_504	False	0.126945
FASTA_505	False	0.065316
FASTA_506	False	0.036442
FASTA_507	False	0.149137
FASTA_508	False	0.164104
FASTA_509	False	0.076998
FASTA_510	False	0.072249
FASTA_511	False	0.073438
FASTA_512	False	0.124243
FASTA_513	False	0.145724
FASTA_514	False	0.092063
FASTA_515	False	0.129317
FASTA_516	False	0.092854
FASTA_517	False	0.163970
FASTA_518	False	0.122411
FASTA_519	False	0.159895
FASTA_520	True	0.175147
FASTA_521	False	0.160300
FASTA_522	True	0.237465
FASTA_523	False	0.166644
FASTA_524	False	0.107334
FASTA_525	True	0.188390
FASTA_526	False	0.154721
FASTA_527	False	0.162900
FASTA_528	True	0.174818
FASTA_529	True	0.191411
FASTA_530	False	0.041150
FASTA_531	False	0.081318
FASTA_532	False	0.095213
FASTA_533	False	0.055039
FASTA_534	False	0.088601
FASTA_535	False	0.089635
FASTA_536	False	0.076998
FASTA_537	False	0.089608
FASTA_538	False	0.154684
FASTA_539	False	0.166410
FASTA_540	True	0.197960
FASTA_541	False	0.080282
FASTA_542	False	0.086256
FASTA_543	False	0.068807
FASTA_544	False	0.126894
FASTA_545	False	0.163755
FASTA_546	False	0.137781
FASTA_547	False	0.089608
FASTA_548	False	0.137781
FASTA_549	False	0.158424
FASTA_550	True	0.185205
FASTA_551	False	0.100715
FASTA_552	False	0.071032
FASTA_553	False	0.090710
FASTA_554	False	0.154135
FASTA_555	False	0.032888
FASTA_556	False	0.103450
FASTA_557	False	0.137842
FASTA_558	False	0.135263
FASTA_559	False	0.115478
FASTA_560	True	0.189057
